Alternativa,TemBar,Sexta/Sabado,Faminto,Clientes,Preco,Chuva,Reserva,Tipo,EsperaEstimada,meta
s,n,n,s,alguns,$$$,n,s,frances,0-10,s
s,n,n,s,cheio,$,n,n,tailandes,30-60,n
n,s,n,n,alguns,$,n,n,hamburger,0-10,s
s,n,s,s,cheio,$,s,n,tailandes,10-30,s
s,n,s,n,cheio,$$$,n,s,frances,>60,n
n,s,n,s,alguns,$$,s,s,italiano,0-10,s
n,s,n,n,nenhum,$,s,n,hamburger,0-10,n
n,n,n,s,alguns,$$,s,s,tailandes,0-10,s
n,s,s,n,cheio,$,s,n,hamburger,>60,n
s,s,s,s,cheio,$$$,n,s,italiano,10-30,n
n,n,n,n,nenhum,$,n,n,tailandes,0-10,n
s,s,s,s,cheio,$,n,n,hamburger,30-60,s
